city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
havre-saint-pierre,ca,2017-09-09 10:00:00,-63.6,50.23,60.8,63.0,20.0,10.29
henties bay,na,2017-09-09 10:36:49,14.28,-22.12,64.43,76.0,8.0,6.96
hermanus,za,2017-09-09 10:36:49,19.23,-34.42,57.05,69.0,0.0,6.73
hithadhoo,mv,2017-09-09 10:36:50,73.08,-0.6,83.69,100.0,0.0,12.21
hofn,is,2017-09-09 10:36:50,-15.21,64.25,49.13,100.0,88.0,6.29
hollola,fi,2017-09-09 10:36:50,25.38,61.03,56.6,97.0,88.0,6.4
houma,us,2017-09-09 10:15:00,-90.72,29.6,82.4,61.0,40.0,11.41
hualmay,pe,2017-09-09 10:36:51,-77.61,-11.1,67.4,70.0,24.0,6.29
husavik,is,2017-09-09 10:00:00,-17.34,66.04,55.4,71.0,90.0,4.7
ibaiti,br,2017-09-09 10:36:51,-50.19,-23.85,82.79,48.0,64.0,5.95
ibra,om,2017-09-09 10:36:52,58.53,22.69,74.15,55.0,0.0,1.7
ico,br,2017-09-09 10:36:52,-38.86,-6.4,94.4,30.0,0.0,12.88
iguguno,tz,2017-09-09 10:36:46,35.74,-6.17,68.39,60.0,0.0,12.33
ikalamavony,mg,2017-09-09 10:36:52,46.58,-21.15,51.92,90.0,0.0,2.37
illoqqortoormiut,gl,2017-09-09 09:55:00,12.49,41.9,75.2,60.0,20.0,8.05
ilulissat,gl,2017-09-09 09:50:00,-51.1,69.22,44.6,42.0,75.0,12.75
imbituba,br,2017-09-09 10:00:00,-48.67,-28.24,75.2,60.0,20.0,14.99
inhambane,mz,2017-09-09 10:36:53,35.38,-23.86,69.74,100.0,0.0,8.63
inirida,co,2017-09-09 10:36:54,-67.92,3.87,88.91,63.0,56.0,2.93
ipixuna,br,2017-09-09 10:00:00,-72.62,-7.57,89.6,55.0,40.0,3.38
iqaluit,ca,2017-09-09 10:00:00,-68.51,63.75,51.8,76.0,75.0,17.22
iquitos,pe,2017-09-09 10:00:00,-73.25,-3.75,86.0,66.0,75.0,4.7
isiro,cd,2017-09-09 10:36:55,27.62,2.77,74.24,85.0,32.0,3.94
isla mujeres,mx,2017-09-09 09:45:00,-86.73,21.23,87.8,70.0,75.0,3.36
islahiye,tr,2017-09-09 09:50:00,36.63,37.02,87.8,12.0,0.0,13.87
itarema,br,2017-09-09 10:36:55,-39.95,-2.88,91.97,48.0,0.0,13.0
jamestown,sh,2017-09-09 10:36:56,-5.72,-15.94,67.94,100.0,92.0,14.23
jensen beach,us,2017-09-09 10:10:00,-80.23,27.25,87.8,94.0,90.0,10.29
ji-parana,br,2017-09-09 10:37:02,-61.95,-10.87,95.3,43.0,24.0,2.59
juazeiro,br,2017-09-09 10:00:00,-40.5,-9.41,87.8,33.0,40.0,12.75
jumla,np,2017-09-09 10:37:03,82.18,29.27,35.72,78.0,24.0,2.93
kabare,cd,2017-09-09 10:37:03,28.82,-2.47,63.35,100.0,64.0,2.26
kabompo,zm,2017-09-09 10:37:03,24.2,-13.59,74.96,27.0,0.0,8.86
kalmar,se,2017-09-09 09:50:00,16.36,56.66,59.0,100.0,92.0,14.99
kalmunai,lk,2017-09-09 10:37:04,81.82,7.42,74.42,100.0,48.0,2.15
kangaatsiaq,gl,2017-09-09 10:37:04,-53.46,68.31,40.04,94.0,92.0,34.25
kanye,bw,2017-09-09 10:37:04,25.33,-24.97,67.31,28.0,0.0,6.73
kasongo,cd,2017-09-09 10:37:04,26.67,-4.45,74.87,79.0,68.0,3.15
kassala,sd,2017-09-09 10:33:09,36.4,15.45,82.07,47.0,20.0,3.15
kasulu,tz,2017-09-09 10:37:05,30.1,-4.58,74.42,46.0,44.0,3.94
kathmandu,np,2017-09-09 10:20:00,85.32,27.72,71.6,94.0,40.0,3.36
kavaratti,in,2017-09-09 10:37:05,72.64,10.57,79.91,100.0,80.0,7.18
kerouane,gn,2017-09-09 10:37:06,-9.02,9.27,75.5,91.0,32.0,1.7
key west,us,2017-09-09 09:53:00,-81.78,24.56,82.4,74.0,40.0,24.16
khash,ir,2017-09-09 10:37:06,61.22,28.22,65.42,17.0,0.0,4.61
khetri,in,2017-09-09 10:37:06,75.8,27.98,85.76,51.0,56.0,1.92
khunzakh,ru,2017-09-09 10:37:07,46.7,42.54,56.24,86.0,0.0,1.7
kibondo,tz,2017-09-09 10:37:07,30.72,-3.59,77.39,39.0,92.0,5.28
kidal,ml,2017-09-09 10:37:07,1.41,18.44,93.14,30.0,20.0,2.93
kikwit,cd,2017-09-09 10:37:08,18.82,-5.04,71.27,96.0,56.0,2.59
kinango,ke,2017-09-09 10:00:00,39.32,-4.14,77.0,78.0,75.0,8.05
kirovskiy,ru,2017-09-09 10:37:08,133.51,45.09,45.62,86.0,56.0,2.37
kisangani,cd,2017-09-09 10:37:08,25.2,0.52,75.05,93.0,76.0,3.6
kisumu,ke,2017-09-09 10:00:00,34.76,-0.1,75.2,60.0,75.0,5.61
klaksvik,fo,2017-09-09 09:50:00,-6.59,62.23,50.0,87.0,92.0,11.41
knysna,za,2017-09-09 10:15:00,23.05,-34.04,59.0,93.0,75.0,6.93
kondinskoye,ru,2017-09-09 10:37:09,67.41,59.65,43.19,87.0,92.0,7.96
korla,cn,2017-09-09 10:37:10,86.15,41.76,53.9,77.0,0.0,3.04
koulamoutou,ga,2017-09-09 10:37:10,12.47,-1.13,77.93,82.0,36.0,2.37
kourou,gf,2017-09-09 10:30:00,-52.65,5.16,91.4,59.0,0.0,10.29
koutsouras,gr,2017-09-09 10:37:10,25.97,35.04,77.39,100.0,0.0,9.64
kozhevnikovo,ru,2017-09-09 10:37:11,83.97,56.26,40.76,90.0,88.0,2.59
krasnoselkup,ru,2017-09-09 10:37:11,82.47,65.7,40.49,95.0,76.0,3.15
