city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
kishtwar,in,2017-10-27 10:10:32,75.77,33.32,32.63,67.0,0.0,1.77
kismayo,so,2017-10-27 10:10:33,42.55,-0.36,79.47,100.0,20.0,11.56
klaksvik,fo,2017-10-27 09:50:00,-6.59,62.23,48.2,87.0,92.0,36.91
kodar,in,2017-10-27 10:10:34,79.97,16.98,77.18,70.0,44.0,4.56
kolda,sn,2017-10-27 10:10:34,-14.95,12.88,90.36,70.0,0.0,4.23
korla,cn,2017-10-27 10:10:35,86.15,41.76,31.28,85.0,0.0,4.63
koungou,yt,2017-10-27 09:30:00,45.2,-12.73,80.6,74.0,0.0,8.05
krasnoselkup,ru,2017-10-27 10:10:36,82.47,65.7,22.28,84.0,56.0,10.94
kristiansund,no,2017-10-27 09:50:00,7.73,63.11,48.2,87.0,75.0,26.4
kruisfontein,za,2017-10-27 10:10:37,24.73,-34.0,56.75,92.0,24.0,8.25
kuytun,cn,2017-10-27 10:10:37,84.85,44.33,32.18,86.0,88.0,3.74
labe,gn,2017-10-27 10:10:38,-12.28,11.32,79.74,65.0,0.0,7.87
lagoa,pt,2017-10-27 10:10:39,-27.98,39.05,67.86,100.0,88.0,15.41
laguna,br,2017-10-27 10:10:39,-48.78,-28.48,70.25,88.0,32.0,8.03
lagunas,pe,2017-10-27 10:10:40,-75.68,-5.23,93.15,52.0,8.0,3.06
lahan,np,2017-10-27 10:10:40,86.5,26.73,67.77,62.0,36.0,0.83
lamu,ke,2017-10-27 10:10:41,40.9,-2.27,78.08,95.0,20.0,7.92
lavumisa,sz,2017-10-27 10:10:41,31.89,-27.31,57.6,87.0,92.0,10.33
lebu,cl,2017-10-27 10:10:42,-73.65,-37.62,52.97,100.0,0.0,11.61
lerwick,gb,2017-10-27 09:50:00,-1.15,60.15,51.8,81.0,75.0,34.45
les cayes,ht,2017-10-27 10:10:07,-73.75,18.2,84.02,96.0,20.0,8.37
lima,pe,2017-10-27 10:10:19,-77.03,-12.04,68.99,78.0,8.0,2.55
lindi,tz,2017-10-27 09:00:00,39.72,-10.0,78.8,83.0,75.0,17.22
lisala,cd,2017-10-27 10:10:44,21.52,2.15,77.31,90.0,36.0,2.62
lodja,cd,2017-10-27 10:10:44,23.43,-3.48,72.59,97.0,32.0,3.4
longyearbyen,sj,2017-10-27 09:50:00,15.64,78.22,26.6,63.0,40.0,12.75
louisbourg,ca,2017-10-27 09:29:00,-59.97,46.08,57.2,93.0,90.0,10.29
luau,ao,2017-10-27 10:10:45,22.22,-10.71,71.82,85.0,92.0,2.1
lucapa,ao,2017-10-27 10:10:46,20.74,-8.42,71.69,91.0,88.0,2.39
luderitz,na,2017-10-27 10:10:46,15.16,-26.65,64.8,54.0,0.0,12.46
luwingu,zm,2017-10-27 10:10:47,29.93,-10.26,68.4,87.0,48.0,2.73
lysyye gory,ru,2017-10-27 10:10:47,44.84,51.55,33.89,97.0,88.0,7.54
madaoua,ne,2017-10-27 10:10:48,5.96,14.07,81.05,17.0,0.0,9.15
mahanje,tz,2017-10-27 10:10:48,35.33,-9.93,74.75,71.0,48.0,6.91
mahebourg,mu,2017-10-27 09:00:00,57.7,-20.41,77.0,78.0,40.0,14.99
maicao,co,2017-10-27 10:10:49,-72.24,11.38,86.45,85.0,12.0,9.44
malanje,ao,2017-10-27 10:10:50,16.34,-9.54,68.22,96.0,92.0,3.85
maldonado,uy,2017-10-27 09:00:00,-54.95,-34.9,68.0,88.0,90.0,9.17
manavgat,tr,2017-10-27 09:20:00,31.44,36.79,68.0,72.0,75.0,2.24
mandera,ke,2017-10-27 10:10:51,41.87,3.94,74.34,84.0,8.0,2.51
manga,br,2017-10-27 10:06:49,-43.93,-14.76,98.33,26.0,32.0,7.14
mangai,cd,2017-10-27 10:10:52,19.53,-4.05,77.31,91.0,32.0,1.99
mangrol,in,2017-10-27 10:10:52,70.12,21.12,78.62,90.0,0.0,5.64
maniitsoq,gl,2017-10-27 10:10:53,-52.9,65.42,31.86,100.0,88.0,2.77
manjacaze,mz,2017-10-27 10:10:54,33.88,-24.71,66.65,87.0,92.0,21.45
mantua,cu,2017-10-27 10:10:54,-84.28,22.29,82.26,72.0,76.0,10.6
manzil tamim,tn,2017-10-27 10:00:00,80.28,13.08,78.8,88.0,20.0,7.87
mar del plata,ar,2017-10-27 09:00:00,-57.56,-38.0,60.8,67.0,40.0,16.11
marcona,pe,2017-10-27 10:10:55,-75.16,-15.37,62.1,94.0,0.0,11.61
margate,za,2017-10-27 10:10:55,30.37,-30.86,61.25,98.0,76.0,19.73
marsh harbour,bs,2017-10-27 10:10:56,-77.06,26.54,77.9,100.0,0.0,12.57
marv dasht,ir,2017-10-27 09:30:00,52.54,29.6,60.8,25.0,0.0,1.83
marzuq,ly,2017-10-27 10:10:57,13.92,25.92,64.4,57.0,0.0,7.92
masuguru,tz,2017-10-27 10:10:57,38.42,-11.37,85.28,54.0,24.0,14.63
masvingo,zw,2017-10-27 10:10:58,30.83,-20.06,63.5,98.0,92.0,10.83
matara,lk,2017-10-27 10:10:58,80.54,5.95,79.79,93.0,56.0,7.09
